# Torpedo AUV simulation export
# L = 1.6
# diam = 0.19
# massa = 31.029384975800244
# Cd = 0.42
# r44 = 0.3
# T_surge = 20
# T_sway = 20
# T_heave = 20
# zeta_roll = 0.3
# zeta_pitch = 0.8
# T_yaw = 1
# K_nomoto = 0.25
# T_nomoto = 1
# wn_d = 0.1
# zeta_d = 1
# r_max = 0.08726646259971647
# lam = 0.1
# phi_b = 0.1
# K_d = 0.5
# K_sigma = 0.05
# wn_d_z = 0.02
# Kp_z = 0.1
# T_z = 100.0
# Kp_theta = 5.0
# Kd_theta = 2.0
# Ki_theta = 0.3
# K_w = 5.0
# ref_z = 30.0
# ref_psi = 45.0
# ref_n = 1525
# V_c = 0.0
# beta_c = 0.0
# fin_CL = [0.5, 0.5, 0.7, 0.7]
# fin_area = [0.00665, 0.00665, 0.00665, 0.00665]
# thruster_nMax = 1525
# current_model_type = GaussMarkovCurrent
#
t_s,x_north_m,y_east_m,z_depth_m,phi_rad,theta_rad,psi_rad,u_ms,v_ms,w_ms,p_rads,q_rads,r_rads,delta_r_top_rad,delta_r_bottom_rad,delta_s_star_rad,delta_s_port_rad,n_cmd_rpm,delta_r_top_actual_rad,delta_r_bottom_actual_rad,delta_s_star_actual_rad,delta_s_port_actual_rad,n_actual_rpm
1.0600,1.21277,-0.000370412,0.061876,0.01928,-0.0593854,-0.00118191,2.08276,8.4305e-05,0.000771773,-0.0330687,-0.0518522,0.000156898,0.00772732,-0.00772732,0.103474,-0.103474,1525,0.00694074,-0.00694074,0.103733,-0.103733,1524.99
1.0800,1.2548,-0.000418044,0.0643819,0.0187145,-0.0603578,-0.00119574,2.10558,0.00010889,0.000325455,-0.0283133,-0.0486238,0.000247417,0.00750041,-0.00750041,0.0994424,-0.0994424,1525,0.00709806,-0.00709806,0.103681,-0.103681,1524.99
1.1000,1.29728,-0.000466225,0.0669476,0.0182424,-0.061264,-0.0012057,2.12767,0.000129333,-5.94064e-05,-0.0236385,-0.0453096,0.000350691,0.00720811,-0.00720811,0.094632,-0.094632,1525,0.00717853,-0.00717853,0.102833,-0.102833,1524.99
1.1200,1.34018,-0.000514917,0.0695715,0.0178606,-0.0621026,-0.00121171,2.149,0.000144674,-0.000383251,-0.0191057,-0.0419263,0.000464915,0.00685892,-0.00685892,0.0890706,-0.0890706,1525,0.00718444,-0.00718444,0.101193,-0.101193,1524.99
1.1400,1.38349,-0.000564079,0.0722517,0.0175654,-0.0628732,-0.00121374,2.16965,0.000154292,-0.000647785,-0.0147687,-0.0385267,0.000586825,0.00646846,-0.00646846,0.0828696,-0.0828696,1525,0.00711934,-0.00711934,0.0987686,-0.0987686,1525
1.1600,1.4272,-0.000613672,0.0749866,0.0173518,-0.0635784,-0.00121193,2.18998,0.000158181,-0.000859289,-0.0106729,-0.0352529,0.000709582,0.00606978,-0.00606978,0.0763558,-0.0763558,1525,0.00698916,-0.00698916,0.0955888,-0.0955888,1525
1.1800,1.47131,-0.000663663,0.077774,0.0172142,-0.0642182,-0.00120628,2.20955,0.000155246,-0.00101906,-0.00686427,-0.0319794,0.00083679,0.00564557,-0.00564557,0.0692832,-0.0692832,1525,0.00680529,-0.00680529,0.0917422,-0.0917422,1525
1.2000,1.51579,-0.000714019,0.0806119,0.0171461,-0.0647954,-0.00119696,2.22872,0.000145713,-0.00113468,-0.00337255,-0.0288494,0.000961757,0.0052282,-0.0052282,0.0619893,-0.0619893,1525,0.00657334,-0.00657334,0.0872504,-0.0872504,1525
1.2200,1.56064,-0.000764711,0.0834978,0.0171407,-0.0653102,-0.00118398,2.247,0.000128794,-0.00120512,-0.000227923,-0.0257252,0.00108897,0.00479617,-0.00479617,0.0541924,-0.0541924,1525,0.00630431,-0.00630431,0.0821982,-0.0821982,1525
1.2400,1.60584,-0.000815705,0.0864292,0.0171907,-0.0657649,-0.00116747,2.26466,0.000104794,-0.00123735,0.0025554,-0.02272,0.00121324,0.00437454,-0.00437454,0.0461642,-0.0461642,1525,0.00600268,-0.00600268,0.076597,-0.076597,1525
