# Torpedo AUV simulation export
# L = 1.6
# diam = 0.19
# massa = 31.029384975800244
# Cd = 0.42
# r44 = 0.3
# T_surge = 20
# T_sway = 20
# T_heave = 20
# zeta_roll = 0.3
# zeta_pitch = 0.8
# T_yaw = 1
# K_nomoto = 0.25
# T_nomoto = 1
# wn_d = 0.1
# zeta_d = 1
# r_max = 0.08726646259971647
# lam = 0.1
# phi_b = 0.1
# K_d = 0.5
# K_sigma = 0.05
# wn_d_z = 0.02
# Kp_z = 0.1
# T_z = 100.0
# Kp_theta = 5.0
# Kd_theta = 2.0
# Ki_theta = 0.3
# K_w = 5.0
# ref_z = 30.0
# ref_psi = 45.0
# ref_n = 1525
# V_c = 0.0
# beta_c = 0.0
# fin_CL = [0.5, 0.5, 0.7, 0.7]
# fin_area = [0.00665, 0.00665, 0.00665, 0.00665]
# thruster_nMax = 1525
# current_model_type = PowerLawProfile
#
t_s,x_north_m,y_east_m,z_depth_m,phi_rad,theta_rad,psi_rad,u_ms,v_ms,w_ms,p_rads,q_rads,r_rads,delta_r_top_rad,delta_r_bottom_rad,delta_s_star_rad,delta_s_port_rad,n_cmd_rpm,delta_r_top_actual_rad,delta_r_bottom_actual_rad,delta_s_star_actual_rad,delta_s_port_actual_rad,n_actual_rpm
1.1800,1.33872,-0.000645033,0.0364466,0.0179388,-0.0516167,-0.00100208,2.11661,-0.000502161,-0.0128199,-0.00664884,-0.0236286,0.000979815,0.00462069,-0.00462069,0.0252869,-0.0252869,1525,0.00571198,-0.00571198,0.057256,-0.057256,1525
1.2000,1.38141,-0.000693421,0.0383978,0.0178768,-0.0520561,-0.000988211,2.13664,-0.000508256,-0.0126913,-0.00306479,-0.0219543,0.00108654,0.00428311,-0.00428311,0.0184462,-0.0184462,1525,0.00549372,-0.00549372,0.0508622,-0.0508622,1525
1.2200,1.42449,-0.000741929,0.0403905,0.017879,-0.0524654,-0.000971694,2.15613,-0.000521573,-0.0125629,0.000154821,-0.0204462,0.00119039,0.00395709,-0.00395709,0.0118071,-0.0118071,1525,0.0052516,-0.0052516,0.044379,-0.044379,1525
1.2400,1.46794,-0.000790545,0.0424232,0.0179378,-0.0528481,-0.000952702,2.17507,-0.000542037,-0.0124389,0.00299119,-0.0191126,0.00129023,0.00364832,-0.00364832,0.00542379,-0.00542379,1525,0.00499269,-0.00499269,0.0378646,-0.0378646,1525
1.2600,1.51176,-0.000839261,0.0444942,0.0180454,-0.0532077,-0.000931416,2.19349,-0.000569489,-0.0123235,0.00543284,-0.0179594,0.00138516,0.00336144,-0.00336144,-0.000653957,0.000653957,1525,0.00472382,-0.00472382,0.0313765,-0.0313765,1525
1.2800,1.55594,-0.000888071,0.0466021,0.0181936,-0.053548,-0.000908029,2.2114,-0.000603692,-0.0122206,0.00747526,-0.0169902,0.00147451,0.00310001,-0.00310001,-0.00638191,0.00638191,1525,0.00445134,-0.00445134,0.0249704,-0.0249704,1525
1.3000,1.60047,-0.000936971,0.0487454,0.0183747,-0.0538726,-0.000882738,2.22882,-0.000644349,-0.0121338,0.00912039,-0.0162063,0.00155781,0.00286656,-0.00286656,-0.0117218,0.0117218,1525,0.00418108,-0.00418108,0.0186999,-0.0186999,1525
1.3200,1.64533,-0.000985959,0.0509228,0.0185807,-0.0541853,-0.000855744,2.24574,-0.000691111,-0.0120664,0.0103762,-0.0156064,0.0016348,0.00266264,-0.00266264,-0.0166416,0.0166416,1525,0.00391817,-0.00391817,0.0126156,-0.0126156,1525
1.3400,1.69052,-0.00103503,0.0531328,0.0188043,-0.0544896,-0.000827243,2.26219,-0.000743592,-0.0120215,0.011256,-0.0151871,0.00170541,0.00248892,-0.00248892,-0.0211161,0.0211161,1525,0.00366707,-0.00366707,0.00676415,-0.00676415,1525
1.3600,1.73603,-0.00108419,0.0553744,0.0190383,-0.0547891,-0.00079743,2.27818,-0.000801376,-0.0120015,0.0117781,-0.0149427,0.00176974,0.00234526,-0.00234526,-0.0251269,0.0251269,1525,0.00343144,-0.00343144,0.00118811,-0.00118811,1525
1.3800,1.78185,-0.00113343,0.0576464,0.0192759,-0.055087,-0.00076649,2.29372,-0.000864028,-0.0120087,0.0119645,-0.0148654,0.00182801,0.00223085,-0.00223085,-0.0286629,0.0286629,1525,0.0032142,-0.0032142,-0.0040749,0.0040749,1525
1.4000,1.82797,-0.00118276,0.059948,0.0195109,-0.0553866,-0.000734598,2.30882,-0.000931101,-0.0120447,0.0118413,-0.0149454,0.00188058,0.00214433,-0.00214433,-0.0317195,0.0317195,1525,0.00301753,-0.00301753,-0.0089925,0.0089925,1525
1.4200,1.87438,-0.00123217,0.0622783,0.0197379,-0.0556907,-0.000701918,2.32349,-0.00100215,-0.0121108,0.011437,-0.0151715,0.00192786,0.0020839,-0.0020839,-0.0342993,0.0342993,1525,0.00284289,-0.00284289,-0.0135379,0.0135379,1525
1.4400,1.92108,-0.00128165,0.0646367,0.0199517,-0.0560021,-0.000668597,2.33774,-0.00107671,-0.0122076,0.0107825,-0.0155308,0.00197035,0.00204743,-0.00204743,-0.0364111,0.0364111,1525,0.00269109,-0.00269109,-0.0176902,0.0176902,1525
1.4600,1.96805,-0.00133122,0.0670224,0.020148,-0.056323,-0.000634769,2.35159,-0.00115437,-0.0123355,0.00991,-0.0160093,0.00200859,0.00203256,-0.00203256,-0.0380701,0.0380701,1525,0.00256236,-0.00256236,-0.0214344,0.0214344,1525
1.4800,2.01529,-0.00138086,0.0694352,0.0203231,-0.0566556,-0.000600545,2.36504,-0.00123468,-0.0124943,0.00885287,-0.0165918,0.00204312,0.00203683,-0.00203683,-0.0392968,0.0392968,1525,0.0024564,-0.0024564,-0.0247615,0.0247615,1525
1.5000,2.06279,-0.00143057,0.0718747,0.020474,-0.0570016,-0.000566024,2.3781,-0.00131725,-0.0126834,0.00764468,-0.0172628,0.00207452,0.0020577,-0.0020577,-0.040117,0.040117,1525,0.00237249,-0.00237249,-0.0276686,0.0276686,1525
1.5200,2.11054,-0.00148035,0.0743406,0.0205984,-0.0573625,-0.000531283,2.39079,-0.00140168,-0.0129017,0.00631877,-0.018006,0.00210331,0.00209268,-0.00209268,-0.0405609,0.0405609,1525,0.00230953,-0.00230953,-0.0301583,0.0301583,1525
