# Torpedo AUV simulation export
# L = 1.6
# diam = 0.19
# massa = 31.029384975800244
# Cd = 0.42
# r44 = 0.3
# T_surge = 20
# T_sway = 20
# T_heave = 20
# zeta_roll = 0.3
# zeta_pitch = 0.8
# T_yaw = 1
# K_nomoto = 0.25
# T_nomoto = 1
# wn_d = 0.1
# zeta_d = 1
# r_max = 0.08726646259971647
# lam = 0.1
# phi_b = 0.1
# K_d = 0.5
# K_sigma = 0.05
# wn_d_z = 0.02
# Kp_z = 0.1
# T_z = 100.0
# Kp_theta = 5.0
# Kd_theta = 2.0
# Ki_theta = 0.3
# K_w = 5.0
# ref_z = 0
# ref_psi = 0
# ref_n = 0
# V_c = 0
# beta_c = 0.0
# fin_CL = [0.5, 0.5, 0.7, 0.7]
# fin_area = [0.00665, 0.00665, 0.00665, 0.00665]
# thruster_nMax = 1525
#
t_s,x_north_m,y_east_m,z_depth_m,phi_rad,theta_rad,psi_rad,u_ms,v_ms,w_ms,p_rads,q_rads,r_rads,delta_r_top_rad,delta_r_bottom_rad,delta_s_star_rad,delta_s_port_rad,n_cmd_rpm,delta_r_top_actual_rad,delta_r_bottom_actual_rad,delta_s_star_actual_rad,delta_s_port_actual_rad,n_actual_rpm
1.0800,1.10835,-3.44711e-05,0.0237756,0.0204374,-0.0418945,0.0101055,1.93679,-0.0159938,-0.0101622,-0.0199601,-0.0197112,0.03631,0.0872665,-0.0872665,0.0872665,-0.0872665,1525,0.087266,-0.087266,0.087266,-0.087266,1524.99
1.1000,1.14747,2.50936e-05,0.0252122,0.020114,-0.0422462,0.0108555,1.95715,-0.0169911,-0.00980415,-0.0145981,-0.0168163,0.0378171,0.0872665,-0.0872665,0.0872665,-0.0872665,1525,0.0872661,-0.0872661,0.0872661,-0.0872661,1524.99
1.1200,1.18698,9.71946e-05,0.0266873,0.0198928,-0.0425395,0.0116371,1.97689,-0.0180333,-0.00938584,-0.00941045,-0.0138728,0.0393322,0.0872665,-0.0872665,0.0872665,-0.0872665,1525,0.0872661,-0.0872661,0.0872661,-0.0872661,1524.99
1.1400,1.22687,0.000182634,0.0281994,0.0197691,-0.0427734,0.0124503,1.99601,-0.019121,-0.00890677,-0.00445708,-0.0108858,0.0408522,0.0872665,-0.0872665,0.0872665,-0.0872665,1525,0.0872662,-0.0872662,0.0872662,-0.0872662,1525
1.1600,1.26713,0.000282217,0.0297471,0.0197372,-0.0429473,0.0132953,2.01453,-0.0202544,-0.00836662,0.000210362,-0.00786016,0.0423742,0.0872665,-0.0872665,0.0872665,-0.0872665,1525,0.0872663,-0.0872663,0.0872663,-0.0872663,1525
1.1800,1.30776,0.000396755,0.0313287,0.0197905,-0.0430606,0.014172,2.03247,-0.0214338,-0.00776523,0.00454837,-0.0048008,0.0438953,0.0872665,-0.0872665,0.0872665,-0.0872665,1525,0.0872663,-0.0872663,0.0872663,-0.0872663,1525
1.2000,1.34872,0.00052706,0.0329427,0.0199218,-0.0431128,0.0150802,2.04985,-0.0226591,-0.00710267,0.00852174,-0.00171248,0.0454126,0.0872665,-0.0872665,0.0872665,-0.0872665,1525,0.0872663,-0.0872663,0.0872663,-0.0872663,1525
1.2200,1.39003,0.000673954,0.0345872,0.0201234,-0.0431035,0.0160199,2.06668,-0.0239301,-0.00637917,0.0121034,0.00140013,0.0469233,0.0872665,-0.0872665,0.0872665,-0.0872665,1525,0.0872664,-0.0872664,0.0872664,-0.0872664,1525
1.2400,1.43166,0.000838262,0.0362604,0.020387,-0.0430324,0.016991,2.08297,-0.0252463,-0.00559518,0.0152744,0.00453243,0.0484246,0.0872665,-0.0872665,0.0872665,-0.0872665,1525,0.0872664,-0.0872664,0.0872664,-0.0872664,1525
1.2600,1.4736,0.00102082,0.0379603,0.0207044,-0.0428992,0.0179931,2.09874,-0.0266072,-0.00475129,0.0180232,0.00767994,0.049914,0.0872665,-0.0872665,0.0872665,-0.0872665,1525,0.0872664,-0.0872664,0.0872664,-0.0872664,1525
1.2800,1.51585,0.00122245,0.0396851,0.021067,-0.0427037,0.0190261,2.114,-0.028012,-0.00384829,0.0203457,0.0108383,0.0513889,0.0872665,-0.0872665,0.0872665,-0.0872665,1525,0.0872664,-0.0872664,0.0872664,-0.0872664,1525
1.3000,1.55839,0.00144402,0.0414326,0.0214665,-0.042446,0.0200897,2.12877,-0.0294598,-0.00288711,0.0222445,0.0140032,0.052847,0.0872665,-0.0872665,0.0872665,-0.0872665,1525,0.0872664,-0.0872664,0.0872664,-0.0872664,1525
1.3200,1.60122,0.00168638,0.0432007,0.0218946,-0.042126,0.0211835,2.14306,-0.0309497,-0.00186886,0.0237283,0.0171705,0.054286,0.0872665,-0.0872665,0.0872665,-0.0872665,1525,0.0872664,-0.0872664,0.0872664,-0.0872664,1525
1.3400,1.64432,0.00195037,0.0449873,0.0223435,-0.0417437,0.0223072,2.15689,-0.0324804,-0.00079476,0.0248115,0.0203362,0.0557037,0.0872665,-0.0872665,0.0872665,-0.0872665,1525,0.0872664,-0.0872664,0.0872664,-0.0872664,1525
1.3600,1.6877,0.00223689,0.0467902,0.0228057,-0.0412994,0.0234604,2.17027,-0.0340507,0.000333802,0.0255133,0.0234964,0.0570981,0.0872665,-0.0872665,0.0872665,-0.0872665,1525,0.0872664,-0.0872664,0.0872664,-0.0872664,1525
1.3800,1.73133,0.00254678,0.048607,0.023274,-0.0407933,0.0246426,2.1832,-0.0356593,0.00151533,0.025857,0.0266475,0.0584674,0.0872665,-0.0872665,0.0872665,-0.0872665,1525,0.0872664,-0.0872664,0.0872664,-0.0872664,1525
1.4000,1.77521,0.00288095,0.0504354,0.023742,-0.0402256,0.0258533,2.19572,-0.0373047,0.00274823,0.0258698,0.0297857,0.0598097,0.0872665,-0.0872665,0.0872665,-0.0872665,1525,0.0872664,-0.0872664,0.0872664,-0.0872664,1525
1.4200,1.81933,0.00324029,0.0522732,0.0242038,-0.0395966,0.0270921,2.20781,-0.0389854,0.00403078,0.0255813,0.0329076,0.0611234,0.0872665,-0.0872665,0.0872665,-0.0872665,1525,0.0872665,-0.0872665,0.0872665,-0.0872665,1525
1.4400,1.86369,0.00362567,0.0541179,0.0246542,-0.0389069,0.0283583,2.21951,-0.0406998,0.00536121,0.0250234,0.0360101,0.0624069,0.0872665,-0.0872665,0.0872665,-0.0872665,1525,0.0872665,-0.0872665,0.0872665,-0.0872665,1525
1.4600,1.90827,0.00403801,0.055967,0.0250885,-0.0381567,0.0296513,2.23082,-0.0424464,0.00673763,0.0242294,0.0390899,0.0636588,0.0872665,-0.0872665,0.0872665,-0.0872665,1525,0.0872665,-0.0872665,0.0872665,-0.0872665,1525
1.4800,1.95308,0.00447821,0.0578182,0.0255028,-0.0373466,0.0309705,2.24175,-0.0442235,0.00815814,0.0232335,0.042144,0.0648776,0.0872665,-0.0872665,0.0872665,-0.0872665,1525,0.0872665,-0.0872665,0.0872665,-0.0872665,1525
1.5000,1.99809,0.00494717,0.0596689,0.025894,-0.0364772,0.0323153,2.25231,-0.0460293,0.00962074,0.0220702,0.0451698,0.0660623,0.0872665,-0.0872665,0.0872665,-0.0872665,1525,0.0872665,-0.0872665,0.0872665,-0.0872665,1525
1.5200,2.04331,0.00544581,0.0615166,0.0262595,-0.035549,0.033685,2.26252,-0.0478622,0.0111234,0.0207733,0.0481646,0.0672116,0.0872665,-0.0872665,0.0872665,-0.0872665,1525,0.0872665,-0.0872665,0.0872665,-0.0872665,1525
