# Torpedo AUV simulation export
# L = 1.6
# diam = 0.19
# massa = 31.029384975800244
# Cd = 0.25
# r44 = 0.3
# T_surge = 20
# T_sway = 20
# T_heave = 20
# zeta_roll = 0.3
# zeta_pitch = 0.8
# T_yaw = 1
# K_nomoto = 0.25
# T_nomoto = 1
# wn_d = 0.1
# zeta_d = 1
# r_max = 0.08726646259971647
# lam = 0.1
# phi_b = 0.1
# K_d = 0.5
# K_sigma = 0.05
# wn_d_z = 0.02
# Kp_z = 0.1
# T_z = 100.0
# Kp_theta = 5.0
# Kd_theta = 2.0
# Ki_theta = 0.3
# K_w = 5.0
# ref_z = 0
# ref_psi = 0
# ref_n = 0
# V_c = 0
# beta_c = 0.0
# fin_CL = [0.5, 0.5, 0.7, 0.7]
# fin_area = [0.00665, 0.00665, 0.00665, 0.00665]
# thruster_nMax = 1525
#
t_s,x_north_m,y_east_m,z_depth_m,phi_rad,theta_rad,psi_rad,u_ms,v_ms,w_ms,p_rads,q_rads,r_rads,delta_r_top_rad,delta_r_bottom_rad,delta_s_star_rad,delta_s_port_rad,n_cmd_rpm,delta_r_top_actual_rad,delta_r_bottom_actual_rad,delta_s_star_actual_rad,delta_s_port_actual_rad,n_actual_rpm
1.1600,1.30111,0.000398896,0.0313007,0.0191076,-0.0441382,0.0138836,2.11645,-0.0217169,-0.00911048,-0.000602363,-0.00943617,0.0451069,0.0872665,-0.0872665,0.0872665,-0.0872665,1525,0.0872663,-0.0872663,0.0872663,-0.0872663,1525
1.1800,1.34384,0.000534809,0.0330094,0.0191428,-0.044281,0.0148182,2.1381,-0.023033,-0.00848066,0.00382372,-0.00624515,0.046811,0.0872665,-0.0872665,0.0872665,-0.0872665,1525,0.0872663,-0.0872663,0.0872663,-0.0872663,1525
1.2000,1.387,0.00068922,0.0347562,0.0192577,-0.0443598,0.0157881,2.1592,-0.0244037,-0.00778125,0.0078927,-0.0030115,0.0485163,0.0872665,-0.0872665,0.0872665,-0.0872665,1525,0.0872663,-0.0872663,0.0872663,-0.0872663,1525
1.2200,1.43056,0.000863178,0.0365394,0.0194447,-0.0443739,0.0167934,2.17975,-0.0258292,-0.00701202,0.0115771,0.000260133,0.0502197,0.0872665,-0.0872665,0.0872665,-0.0872665,1525,0.0872664,-0.0872664,0.0872664,-0.0872664,1525
1.2400,1.47452,0.00105775,0.0383571,0.0196957,-0.0443228,0.017834,2.19976,-0.027309,-0.00617298,0.0148572,0.00356515,0.0519179,0.0872665,-0.0872665,0.0872665,-0.0872665,1525,0.0872664,-0.0872664,0.0872664,-0.0872664,1525
1.2600,1.51887,0.001274,0.0402072,0.0200024,-0.044206,0.0189097,2.21926,-0.0288429,-0.00526429,0.0177211,0.00689903,0.0536081,0.0872665,-0.0872665,0.0872665,-0.0872665,1525,0.0872664,-0.0872664,0.0872664,-0.0872664,1525
1.2800,1.5636,0.00151304,0.0420876,0.0203566,-0.044023,0.0200204,2.23824,-0.0304301,-0.00428635,0.0201639,0.0102573,0.0552871,0.0872665,-0.0872665,0.0872665,-0.0872665,1525,0.0872664,-0.0872664,0.0872664,-0.0872664,1525
1.3000,1.60869,0.00177597,0.0439962,0.02075,-0.0437735,0.0211659,2.25673,-0.0320698,-0.00323974,0.0221875,0.0136356,0.0569521,0.0872665,-0.0872665,0.0872665,-0.0872665,1525,0.0872664,-0.0872664,0.0872664,-0.0872664,1525
1.3200,1.65415,0.00206392,0.0459306,0.0211743,-0.0434573,0.0223458,2.27473,-0.0337611,-0.0021252,0.0237999,0.0170296,0.0586003,0.0872665,-0.0872665,0.0872665,-0.0872665,1525,0.0872664,-0.0872664,0.0872664,-0.0872664,1525
1.3400,1.69996,0.00237802,0.0478884,0.0216219,-0.0430742,0.02356,2.29225,-0.0355029,-0.000943678,0.0250148,0.0204352,0.0602291,0.0872665,-0.0872665,0.0872665,-0.0872665,1525,0.0872664,-0.0872664,0.0872664,-0.0872664,1525
1.3600,1.74611,0.00271943,0.0498671,0.0220852,-0.0426241,0.0248079,2.3093,-0.0372939,0.000303731,0.0258504,0.0238481,0.0618359,0.0872665,-0.0872665,0.0872665,-0.0872665,1525,0.0872664,-0.0872664,0.0872664,-0.0872664,1525
1.3800,1.79259,0.00308933,0.0518643,0.0225572,-0.042107,0.0260891,2.3259,-0.0391328,0.00161577,0.0263295,0.0272646,0.0634183,0.0872665,-0.0872665,0.0872665,-0.0872665,1525,0.0872664,-0.0872664,0.0872664,-0.0872664,1525
